Date,High,Low,Volume
2002-12-30,$0.71,$0.69,5198200
2002-12-31,$0.80,$0.69,11369400
2003-01-02,$0.90,$0.81,8397200
2003-01-03,$0.85,$0.77,3248000
2003-01-06,$0.80,$0.76,3003000
2003-01-07,$0.80,$0.77,1937600
2003-01-08,$0.86,$0.76,5356400
2003-01-09,$0.85,$0.81,5322800
2003-01-10,$0.91,$0.83,5434800
2003-01-13,$0.88,$0.86,4408600
2003-01-14,$0.88,$0.84,2549400
2003-01-15,$0.88,$0.85,9430400
2003-01-16,$0.96,$0.86,18653600
2003-01-17,$0.85,$0.79,5364800
2003-01-21,$0.85,$0.79,6081600
2003-01-22,$0.85,$0.81,4173400
2003-01-23,$0.91,$0.84,7219800
2003-01-24,$0.88,$0.85,6353200
2003-01-27,$0.88,$0.84,3439800
2003-01-28,$0.92,$0.85,4946200
2003-01-29,$0.90,$0.85,2956800
2003-01-30,$0.91,$0.88,3700200
2003-01-31,$0.95,$0.89,4019400
2003-02-03,$0.94,$0.89,2836400
2003-02-04,$0.91,$0.86,2039800
2003-02-05,$0.89,$0.84,3484600
2003-02-06,$0.86,$0.82,3735200
2003-02-07,$0.88,$0.84,5016200
2003-02-10,$0.91,$0.87,7305200
2003-02-11,$0.94,$0.90,4790800
2003-02-12,$0.96,$0.93,5615400
2003-02-13,$0.95,$0.94,6092800
2003-02-14,$1.02,$0.95,8435000
2003-02-18,$1.06,$1.00,6267800
2003-02-19,$1.09,$1.05,5118400
2003-02-20,$1.13,$1.07,6339200
2003-02-21,$1.10,$1.03,6255200
2003-02-24,$1.04,$1.00,12339600
2003-02-25,$1.06,$0.97,4629800
2003-02-26,$1.06,$1.01,3878000
2003-02-27,$1.18,$1.06,23119600
2003-02-28,$1.23,$1.16,11879000
2003-03-03,$1.22,$1.13,15797600
2003-03-04,$1.17,$1.11,5565000
2003-03-05,$1.17,$1.13,3498600
2003-03-06,$1.18,$1.14,3455200
2003-03-07,$1.19,$1.13,4853800
2003-03-10,$1.16,$1.12,3424400
